name        t90     t90_error fluence_batse fluence_batse_error flux_batse_1024 flux_batse_1024_error flux_batse_64 flux_batse_64_error
GRB170126480  13.824    3.083   4.7715e-06         3.5929e-08         5.5452               0.1683       7.5717             0.7328
GRB090711850  51.969    2.560   2.8861e-06         4.3065e-08         1.4751               0.2109       2.7305             0.7867
GRB180113418  24.576    0.362   7.6215e-05         3.1548e-08        26.2547               0.2603      29.2537             1.0953
GRB091017985  44.800    3.367   1.1517e-06         1.6760e-08         0.5691               0.0662       1.1010             0.3840
GRB081225257  41.217    5.667   2.3459e-06         3.0236e-08         0.6364               0.1422       1.2995             0.6323
GRB101213849   5.120    1.639   6.7145e-07         8.7966e-09         1.6552               0.0981       3.5067             0.4895
GRB230803061  87.554   27.141   3.5012e-05         1.5738e-08        18.2783               0.2144      24.1499             0.9749
GRB211216282  20.224    0.810   5.7294e-06         2.0042e-08         3.1310               0.1179       3.6824             0.5006
GRB220830319  61.441    0.572   5.3385e-06         1.4042e-08         1.2097               0.0999       2.2549             0.5368
GRB150805445  45.825    5.146   3.5716e-06         3.2319e-08         1.4747               0.1370       2.5672             0.6073
GRB181128129   1.728    2.166   1.7702e-07         1.6030e-08         0.7107               0.0825       1.4553             0.4509
GRB190407575  58.880    1.864   1.1416e-06         2.0105e-08         1.0594               0.0936       2.0428             0.4796
GRB140612294  38.913    8.483   2.3978e-06         4.7758e-08         0.9963               0.0778       1.6944             0.4098
GRB151117442  58.561    4.672   4.8610e-06         3.8363e-08         2.1172               0.1216       4.1834             0.5736
GRB150204272  11.008    1.056   9.8466e-07         1.8391e-08         0.8621               0.0811       1.3866             0.3479
GRB110818860  67.073    3.916   2.7849e-06         1.6713e-08         0.7446               0.0777       1.8521             0.4111
GRB170127067   0.128    0.045   1.2868e-06         2.7037e-08         5.7511               0.3622      36.6704             3.4825
GRB140508179  19.456    2.290   2.0184e-06         4.4587e-08         1.2266               0.2038       2.7245             0.9801
GRB130523198   5.376    0.923   1.2941e-06         1.7300e-08         2.2868               0.1030       3.1728             0.4435
GRB180727594   0.896    0.286   2.2167e-07         9.4699e-09         1.3733               0.0940       2.4574             0.4391
GRB131105087 112.642    0.462   1.3230e-05         5.7044e-08         3.5740               0.1338       4.9298             0.5839
GRB190626254  23.808    4.471   7.6179e-07         3.0335e-08         0.7409               0.0864       1.0891             0.3023
GRB131030653  53.248    3.665   9.3332e-07         1.7384e-08         0.6028               0.0740       1.6681             0.4207
GRB240127202   0.096    0.653   8.3014e-08         9.6307e-09         0.6514               0.1517       8.6046             1.1285
GRB180602938   0.008    0.736   1.1738e-07         7.5185e-09         0.8070               0.0885       8.5151             0.8557
GRB190419414 212.741    0.724   7.1141e-06         2.4322e-08         2.7425               0.1110       4.1296             0.5473
GRB240226815 158.723    1.557   2.1156e-06         1.3303e-08         0.7833               0.0572       1.4047             0.3817
GRB161213295  23.296    1.619   7.5067e-07         1.9085e-08         0.8642               0.1151       1.6278             0.4765
GRB220921462 209.988    5.184   3.1763e-05         9.2632e-08        16.2569               0.2041      23.5427             0.9427
GRB150403913  22.272    0.810   2.5460e-05         3.0342e-08        16.0996               0.3016      18.0905             1.2838
GRB140422194 361.472    9.882   2.2112e-06         5.4778e-08         0.6313               0.1003       1.7056             0.4527
GRB081204004   7.424    1.846   7.0830e-07         3.4563e-08         1.4473               0.1466       2.7693             0.6590
GRB080905705 105.984    6.802   1.6142e-06         2.0665e-08         0.5815               0.0686       1.1278             0.4222
GRB200117517  28.416    2.187   2.1073e-06         5.6665e-08         0.8230               0.1259       1.7468             0.6154
GRB141016897  17.405    7.684   2.1163e-06         2.6719e-08         3.3895               0.1189       3.9589             0.4962
